Record,Name,Price1L1,Tax Rate Link,PRICE NO VAT,PRICE WITHOUT MARK UP WITHOUT VAT
362,CK Ketchup ALL,4.5,1,4.50,3.15
363,B Beeswax Handcream,9.5,3,7.92,5.54
364,Sea Salt,3.5,1,3.50,2.45
365,Yeast 100g,1.8,1,1.80,1.26
366,PLU,0,1,0.00,0.00
367,Smugglers Brew 40 bags,2.5,1,2.50,1.75
368,Cornish Coffee Ground,5.99,1,5.99,4.19
369,Sugar,1.2,1,1.20,0.84
370,Clotted Cream shortbread,2.39,1,2.39,1.67
371,PLU,0,1,0.00,0.00
372,PLU,0,1,0.00,0.00
373,Peanut Butter Smooth,3.5,1,3.50,2.45
374,PLU,0,1,0.00,0.00
375,Malt Vinegar,3.95,1,3.95,2.77
376,Goose fat,4.95,1,4.95,3.47
377,PLU,0,1,0.00,0.00
378,PLU,0,1,0.00,0.00
379,PLU,0,1,0.00,0.00
380,PLU,0,1,0.00,0.00
381,PLU,0,1,0.00,0.00
382,PLU,0,1,0.00,0.00
383,Milk Chocolate,3.5,3,2.92,2.04
384,Eton Mess Chocolate,3.5,3,2.92,2.04
385,Lemon Meringue Chocolate,3.2,3,2.67,1.87
386,Honeycomb Chocolate,3.5,3,2.92,2.04
387,Orange Chocolate,3.2,3,2.67,1.87
388,Caramel Chocolate,3.1,3,2.58,1.81
389,Beef dripping,3.85,1,3.85,2.70
390,Duck fat 320g,5.89,1,5.89,4.12
391,PLU,0,1,0.00,0.00
392,PLU,0,1,0.00,0.00
393,PLU,0,1,0.00,0.00
394,PLU,0,1,0.00,0.00
395,PLU,0,1,0.00,0.00
396,Garlic Mayo,4,1,4.00,2.80
397,Clotted Cream Fudge,3.5,3,2.92,2.04
398,PLU,0,1,0.00,0.00
399,PLU,0,1,0.00,0.00
400,All Burts 40g,0.99,3,0.83,0.58
401,Cards general,2,3,1.67,1.17
402,Flowers,6.5,3,5.42,3.79
403,Hand Sanitiser 100ml,2.95,3,2.46,1.72
404,Kindling,5.8,2,5.80,4.06
405,PLU,0,1,0.00,0.00
406,PLU,0,1,0.00,0.00
407,Other - 0%,0,1,0.00,0.00
408,PLU,0,1,0.00,0.00
409,PLU,0,1,0.00,0.00
410,Gift Voucher Â£10,10,1,10.00,7.00
411,Gift Voucher Â£20,20,1,20.00,14.00
412,PLU,0,1,0.00,0.00
413,Premium Cards,2.5,3,2.08,1.46
414,PLU,0,1,0.00,0.00
415,MrO Tom/Capers Antipasti,3.99,1,3.99,2.79
416,Classic Mayo,4,1,4.00,2.80
417,Dark Orange Chocolate,3.5,3,2.92,2.04
418,Nairn's Marmite,2.85,1,2.85,2.00
419,Salt and Peppery,5.2,1,5.20,3.64
420,B Beeswax Lip Salve,5,3,4.17,2.92
421,B Calendula Cream,8.5,3,7.08,4.96
422,Gourmico Herbs/Spices,1.65,1,1.65,1.16
423,BTT Shortcrust Pastry,2.99,1,2.99,2.09
424,BTT Vegan Pastry ,2.99,1,2.99,2.09
425,Gouda truffle,6.5,1,6.50,4.55
426,CP Sweet pickle,3.5,1,3.50,2.45
427,PLU,0,1,0.00,0.00
428,BTT Sweet Pastry,2.99,1,2.99,2.09
429,PLU,0,1,0.00,0.00
430,Baking Powder,1.55,1,1.55,1.09
431,PLU,0,1,0.00,0.00
432,24 Firelighters,0.99,2,0.99,0.69
433,PLU,0,1,0.00,0.00
434,Other 20%,0,3,0.00,0.00
435,PLU,0,1,0.00,0.00
436,Kernow choc spoon,2.25,3,1.88,1.31
437,"Popti Snaps BO,Ch,Gar",0.5,1,0.50,0.35
438,Popti Snaps Mature Chedd,3.2,1,3.20,2.24
439,PLU,0,1,0.00,0.00
440,PLU,0,1,0.00,0.00
441,Popti Seasalt Thins,2.95,1,2.95,2.07
442,Popti Seaweed Thins,2.95,1,2.95,2.07
443,Popti Rosemary Thins,2.95,1,2.95,2.07
444,PLU,0,1,0.00,0.00
445,PLU,0,1,0.00,0.00
446,Peanut Butter Crunchy,3.75,1,3.75,2.63
447,PLU,0,1,0.00,0.00
448,PLU,0,1,0.00,0.00
449,Popti Parmesan Thins,2.95,1,2.95,2.07
450,PLU,0,1,0.00,0.00
451,PLU,0,1,0.00,0.00
452,PLU,0,1,0.00,0.00
453,PLU,0,1,0.00,0.00
454,Duck Eggs (6),3.25,1,3.25,2.28
455,Coal 20 KG,7.25,2,7.25,5.08
456,Colwith Jute Bag,3,3,2.50,1.75
457,PLU,0,1,0.00,0.00
458,PLU,0,1,0.00,0.00
459,PLU,0,1,0.00,0.00
460,PLU,0,1,0.00,0.00
461,PLU,0,1,0.00,0.00
462,PLU,0,1,0.00,0.00
463,PLU,0,1,0.00,0.00
464,PLU,0,1,0.00,0.00
465,PLU,0,1,0.00,0.00
466,PLU,3.2,3,2.67,1.87
467,PLU,3.5,3,2.92,2.04
468,PLU,3.2,3,2.67,1.87
469,PLU,3.1,3,2.58,1.81
470,PLU,3.5,3,2.92,2.04
471,Pasta (All),2.15,1,2.15,1.51
472,Pasta Fusilli,2.1,1,2.10,1.47
473,B Gardeners Hand Scrub,8,3,6.67,4.67
474,B Lip Rescue ,5,3,4.17,2.92
475,B Muscle Scrub,11,3,9.17,6.42
476,B Peppermint FootCream,7.5,3,6.25,4.38
477,B Rejuv Face Moist,8.5,3,7.08,4.96
478,B Rose Face Moist,8.5,3,7.08,4.96
479,B Tea Tree Cream,8.5,3,7.08,4.96
480,PLU,1.8,3,1.50,1.05
481,PLU,1.8,3,1.50,1.05
482,PLU,2.25,3,1.88,1.31
483,PLU,1.8,3,1.50,1.05
484,PLU,1.8,3,1.50,1.05
485,PLU,1.8,3,1.50,1.05
486,PLU,0,1,0.00,0.00
